feature,importance
flow_rate_per_window,0.5659253
interarrival_std,0.42761645
flow_duration_mean,0.00645819
window_duration_sec,0.0
interarrival_mean,0.0
interarrival_min,0.0
interarrival_max,0.0
flow_duration_std,0.0
flow_duration_min,0.0
flow_duration_max,0.0
total_fwd_packet_mean,0.0
total_fwd_packet_std,0.0
total_fwd_packet_min,0.0
total_fwd_packet_max,0.0
total_bwd_packet_mean,0.0
total_bwd_packet_std,0.0
total_bwd_packet_min,0.0
total_bwd_packet_max,0.0
fwd_bytes_mean,0.0
fwd_bytes_std,0.0
fwd_bytes_min,0.0
fwd_bytes_max,0.0
bwd_bytes_mean,0.0
bwd_bytes_std,0.0
bwd_bytes_min,0.0
bwd_bytes_max,0.0
flow_bytes_per_s_mean,0.0
flow_bytes_per_s_std,0.0
flow_bytes_per_s_min,0.0
flow_bytes_per_s_max,0.0
flow_packets_per_s_mean,0.0
flow_packets_per_s_std,0.0
flow_packets_per_s_min,0.0
flow_packets_per_s_max,0.0
flow_iat_mean_mean,0.0
flow_iat_mean_std,0.0
flow_iat_mean_min,0.0
flow_iat_mean_max,0.0
flow_iat_std_mean,0.0
flow_iat_std_std,0.0
flow_iat_std_min,0.0
flow_iat_std_max,0.0
syn_flag_mean,0.0
syn_flag_std,0.0
syn_flag_min,0.0
syn_flag_max,0.0
rst_flag_mean,0.0
rst_flag_std,0.0
rst_flag_min,0.0
rst_flag_max,0.0
ack_flag_mean,0.0
ack_flag_std,0.0
ack_flag_min,0.0
ack_flag_max,0.0
psh_flag_mean,0.0
psh_flag_std,0.0
psh_flag_min,0.0
psh_flag_max,0.0
avg_packet_size_mean,0.0
avg_packet_size_std,0.0
avg_packet_size_min,0.0
avg_packet_size_max,0.0
packet_length_std_mean,0.0
packet_length_std_std,0.0
packet_length_std_min,0.0
packet_length_std_max,0.0
down_up_ratio_mean,0.0
down_up_ratio_std,0.0
down_up_ratio_min,0.0
down_up_ratio_max,0.0
short_flow_ratio,0.0
rst_flow_ratio,0.0
high_rate_flow_ratio,0.0
